nbr	zone_color_id	x_world_grid	y_world_grid	top_z	bottom_z	zone_name	coords?[0]	coords?[1]	coords?[2]	coords?[3]	coords?[4]	coords?[5]	unk02	map	dupa
0	0	0	0	30000.00000000	-30000.00000000	a,Neutral Waterways\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
1	1	0	0	30000.00000000	-30000.00000000	a,Talking Island\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
2	2	0	0	30000.00000000	-30000.00000000	a,Gludio Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
3	3	0	0	30000.00000000	-30000.00000000	a,Dion Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
4	4	0	0	30000.00000000	-30000.00000000	a,Giran Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
5	5	0	0	30000.00000000	-30000.00000000	a,The Dark Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
6	6	0	0	30000.00000000	-30000.00000000	a,Elven Forest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
7	7	0	0	30000.00000000	-30000.00000000	a,Oren Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
8	8	0	0	30000.00000000	-30000.00000000	a,Aden Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
9	9	0	0	30000.00000000	-30000.00000000	a,Innadril Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
10	10	0	0	30000.00000000	-30000.00000000	a,Misty Mountains\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
11	11	0	0	30000.00000000	-30000.00000000	a,The Neutral Zone\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
12	12	0	0	30000.00000000	-30000.00000000	a,Dragon Valley\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
13	13	0	0	30000.00000000	-30000.00000000	a,_Lyonn Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
14	14	0	0	30000.00000000	-30000.00000000	a,Schuttgart Territory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
15	15	0	0	30000.00000000	-30000.00000000	a,Wasteland\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
16	252	18	21	30000.00000000	-30000.00000000	a,Fellmere Lake\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
17	254	19	23	-4400.00000000	-7520.00000000	a,The Ant Nest\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
18	251	17	22	30000.00000000	-30000.00000000	a,Gludin Arena\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
19	254	19	21	30000.00000000	-30000.00000000	a,Gludio Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
20	255	19	21	30000.00000000	-30000.00000000	a,Town of Gludio\0	756	1932	-19968	117504	1024	1024	0.05000000	a,map_gludio_castle_town\0	0
21	255	17	22	30000.00000000	-30000.00000000	a,Gludin Village\0	433	2079	-89344	145792	1024	1024	0.05000000	a,map_gludin_village\0	0
22	254	17	22	30000.00000000	-30000.00000000	a,Gludin Harbor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
23	255	18	24	30000.00000000	-4200.00000000	a,Langk Lizardmen Dwellings\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
24	253	18	23	30000.00000000	-3700.00000000	a,Red Rock Ridge\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
25	253	19	21	30000.00000000	-30000.00000000	a,Maille Lizardmen Barracks\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
26	253	17	20	30000.00000000	-4200.00000000	a,Windy Hill\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
27	255	18	21	30000.00000000	-30000.00000000	a,Ruins of Agony\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
28	254	18	23	-3760.00000000	-5632.00000000	a,Forgotten Temple\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
29	255	19	22	30000.00000000	-30000.00000000	a,Ruins of Despair\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
30	255	17	21	30000.00000000	-30000.00000000	a,Orc Barracks\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
31	255	18	22	30000.00000000	-30000.00000000	a,Abandoned Camp\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
32	255	21	25	-4874.00000000	-6874.00000000	a,Elven Ruins\0	270	2485	34830	235950	1024	1024	0.05000000	a,dungeon_map_elven_ruin\0	0
33	255	16	25	30000.00000000	-30000.00000000	a,Elven Ruins\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
34	255	21	25	30000.00000000	-6873.00000000	a,Neutral Waterways\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
35	255	17	25	30000.00000000	-30000.00000000	a,Talking Island Village\0	406	2536	-90624	236416	1024	1024	0.05000000	a,map_talkin_island_village\0	0
36	253	17	25	30000.00000000	-30000.00000000	a,Cedric's Training Hall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
37	254	17	25	30000.00000000	-30000.00000000	a,Einhovant's School of Magic\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
38	253	16	25	30000.00000000	-30000.00000000	a,Obelisk of Victory\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
39	254	16	25	30000.00000000	-30000.00000000	a,Singing Waterfall\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
40	252	17	25	30000.00000000	-30000.00000000	a,Talking Island Harbor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
41	253	22	22	30000.00000000	-30000.00000000	a,Giran Arena\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
42	255	23	22	30000.00000000	-30000.00000000	a,Giran Castle\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
43	255	22	22	30000.00000000	-30000.00000000	a,Town of Giran\0	1244	2053	73536	140032	1024	1024	0.05000000	a,map_giran_castle_town\0	0
44	255	21	23	30000.00000000	-30000.00000000	a,Giran Harbor\0	-1	-1	-1	-1	-1	-1	0.00000000	a,	0
