id	UNK_0	message	group	rgba[0]	rgba[1]	rgba[2]	rgba[3]	item_sound	sys_msg_ref	UNK_1[0]	UNK_1[1]	UNK_1[2]	UNK_1[3]	UNK_1[4]	sub_msg	type
0	1	a,You have been disconnected from the server.\0	2	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,server\0
1	1	a,The server will be coming down in $s1 second(s).  Please find a safe place to log out.\0	2	79	9B	B0	FF	a,	a,	8	0	3	1	0	a,Game will end in $s1 second(s).\0	a,server\0
2	1	a,$s1 does not exist.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
3	1	a,$s1 is not currently logged in.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
4	1	a,You cannot ask yourself to apply to a clan.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
5	1	a,$s1 already exists.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
6	1	a,$s1 does not exist.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
7	1	a,You are already a member of $s1.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
8	1	a,You are already a member of another clan.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
9	1	a,$s1 is not a clan leader.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
10	1	a,$s1 is already a member of another clan.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
11	1	a,There are no applicants for this clan.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
12	1	a,Applicant information is incorrect.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
13	1	a,Unable to dissolve: your clan has requested to participate in a castle siege.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
14	1	a,Unable to dissolve: your clan owns one or more castles or hideouts.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
15	1	a,You are in siege.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
16	1	a,You are not in siege.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
17	1	a,The castle siege has begun.\0	0	79	9B	B0	FF	a,ItemSound3.sys_siege_start\0	a,17\0	2	0	3	1	0	a,Castle siege has begun.\0	a,none\0
18	1	a,The castle siege has ended.\0	0	79	9B	B0	FF	a,	a,18\0	2	0	3	1	0	a,Castle siege has ended.\0	a,none\0
19	1	a,There is a new Lord of the castle!\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
20	1	a,The gate is being opened.\0	0	79	9B	B0	FF	a,	a,	2	0	3	1	0	a,The gate is being opened.\0	a,none\0
21	1	a,The gate is being destroyed.\0	0	79	9B	B0	FF	a,	a,	2	0	3	1	0	a,The gate is being destroyed.\0	a,none\0
22	1	a,Your target is out of range.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
23	1	a,Not enough HP.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
24	1	a,Not enough MP.\0	0	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,none\0
25	1	a,Rejuvenating HP.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
26	1	a,Rejuvenating MP.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
27	1	a,Your casting has been interrupted.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
28	1	a,You have obtained $s1 adena.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
29	1	a,You have obtained $s2 $s1.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
30	1	a,You have obtained $s1.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
31	1	a,You cannot move while sitting.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
32	1	a,You are unable to engage in combat. Please go to the nearest restart point.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
33	1	a,You cannot move while casting.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
34	1	a,Welcome to the World of Lineage II.\0	2	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,server\0
35	1	a,You hit for $s1 damage.\0	3	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,damage\0
36	1	a,$c1 hit you for $s2 damage.\0	3	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,damage\0
37	1	a,$c1 hit you for $s2 damage.\0	3	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,damage\0
38	1	a,The TGS2002 event begins!\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
39	1	a,The TGS2002 event is over. Thank you very much.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
40	1	a,This is the TGS demo: the character will immediately be restored.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
41	1	a,You carefully nock an arrow.\0	1	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
42	1	a,You have avoided $c1's attack.\0	1	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
43	1	a,You have missed.\0	1	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
44	1	a,Critical hit!\0	1	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,battle\0
45	1	a,You have earned $s1 experience.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
46	1	a,You use $s1.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
47	1	a,You begin to use a(n) $s1.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
48	1	a,$s1 is not available at this time: being prepared for reuse.\0	3	79	9B	B0	FF	a,ItemSound3.sys_shortage\0	a,	0	0	0	0	0	a,	a,damage\0
49	1	a,You have equipped your $s1.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
50	1	a,Your target cannot be found.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
51	1	a,You cannot use this on yourself.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
52	1	a,You have earned $s1 adena.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
53	1	a,You have earned $s2 $s1(s).\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
54	1	a,You have earned $s1.\0	0	0	FF	FF	FF	a,	a,	0	0	0	0	0	a,	a,none\0
55	1	a,You have failed to pick up $s1 adena.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
56	1	a,You have failed to pick up $s1.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
57	1	a,You have failed to pick up $s2 $s1(s).\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
58	1	a,You have failed to earn $s1 adena.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
59	1	a,You have failed to earn $s1.\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
60	1	a,You have failed to earn $s2 $s1(s).\0	0	79	9B	B0	FF	a,ItemSound3.sys_impossible\0	a,	0	0	0	0	0	a,	a,none\0
61	1	a,Nothing happened.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
62	1	a,Your $s1 has been successfully enchanted.\0	0	0	FF	FF	FF	a,ItemSound3.sys_enchant_success\0	a,	0	0	0	0	0	a,	a,none\0
63	1	a,Your +$S1 $S2 has been successfully enchanted.\0	0	0	FF	FF	FF	a,ItemSound3.sys_enchant_success\0	a,	0	0	0	0	0	a,	a,none\0
64	1	a,The enchantment has failed!  Your $s1 has been crystallized.\0	0	79	9B	B0	FF	a,ItemSound3.sys_enchant_failed\0	a,	0	0	0	0	0	a,	a,none\0
65	1	a,The enchantment has failed!  Your +$s1 $s2 has been crystallized.\0	0	79	9B	B0	FF	a,ItemSound3.sys_enchant_failed\0	a,	0	0	0	0	0	a,	a,none\0
66	1	a,$c1 is inviting you to join a party. Do you accept?\0	4	79	9B	B0	FF	a,ItemSound3.sys_party_invite\0	a,	0	0	0	0	0	a,	a,popup\0
67	1	a,$s1 has invited you to join their clan, $s2. Do you wish to join?\0	4	79	9B	B0	FF	a,ItemSound3.sys_party_invite\0	a,	0	0	0	0	0	a,	a,popup\0
68	1	a,Would you like to withdraw from clan $s1? If you leave, you will have to wait at least a day before joining another clan.\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
69	1	a,Would you like to dismiss $s1 from the clan? If you do so, you will have to wait at least a day before accepting a new member.\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
70	1	a,Do you wish to disperse the clan, $s1?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
71	1	a,How much $s1(s) do you wish to discard?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
72	1	a,How much $s1(s) do you wish to move?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
73	1	a,How much $s1(s) do you wish to destroy?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
74	1	a,Do you wish to destroy your $s1?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
75	1	a,ID does not exist.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
76	1	a,Incorrect password.\0	0	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,none\0
77	1	a,You cannot create another character. Please delete an existing character and try again.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
78	1	a,When you delete a character, any items in his/her possession will also be deleted. Do you really wish to delete $s1?\0	4	79	9B	B0	FF	a,	a,	0	0	0	0	0	a,	a,popup\0
79	1	a,This name already exists.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
80	1	a,Your title cannot exceed 16 characters in length.  Please try again.\0	0	79	9B	B0	FF	a,ItemSound3.sys_character_failed\0	a,	0	0	0	0	0	a,	a,none\0
