nbr	tag	id	castle_name	location	desc	extra1	extra2	extra3	extra4
0	1	1	a,Gludio Castle\0	a,Gludio\0	a,	a,	a,	a,	a,
1	1	2	a,Dion Castle\0	a,Dion\0	a,	a,	a,	a,	a,
2	1	3	a,Giran Castle\0	a,Giran\0	a,	a,	a,	a,	a,
3	1	4	a,Oren Castle\0	a,Oren\0	a,	a,	a,	a,	a,
4	1	5	a,Aden Castle\0	a,Aden\0	a,	a,	a,	a,	a,
5	1	6	a,Innadril Castle\0	a,Innadril\0	a,	a,	a,	a,	a,
6	1	7	a,Goddard Castle\0	a,Goddard\0	a,	a,	a,	a,	a,
7	1	8	a,Rune Castle\0	a,Rune\0	a,	a,	a,	a,	a,
8	1	9	a,Schuttgart Castle\0	a,Schuttgart\0	a,	a,	a,	a,	a,
9	1	21	a,Fortress of Resistance\0	a,Dion\0	a,Ol Mahum Fortress of Resistance\0	a,	a,	a,	a,
10	1	22	a,Moonstone Hall\0	a,Gludio\0	a,Clan hall located in the Town of Gludio\0	a,	a,	a,	a,
11	1	23	a,Onyx Hall\0	a,Gludio\0	a,Clan hall located in the Town of Gludio\0	a,	a,	a,	a,
12	1	24	a,Topaz Hall\0	a,Gludio\0	a,Clan hall located in the Town of Gludio\0	a,	a,	a,	a,
13	1	25	a,Ruby Hall\0	a,Gludio\0	a,Clan hall located in the Town of Gludio\0	a,	a,	a,	a,
14	1	26	a,Crystal Hall\0	a,Gludin\0	a,Clan hall located in Gludin Village\0	a,	a,	a,	a,
15	1	27	a,Onyx Hall\0	a,Gludin\0	a,Clan hall located in Gludin Village\0	a,	a,	a,	a,
16	1	28	a,Sapphire Hall\0	a,Gludin\0	a,Clan hall located in Gludin Village\0	a,	a,	a,	a,
17	1	29	a,Moonstone Hall\0	a,Gludin\0	a,Clan hall located in Gludin Village\0	a,	a,	a,	a,
18	1	30	a,Emerald Hall\0	a,Gludin\0	a,Clan hall located in Gludin Village\0	a,	a,	a,	a,
19	1	31	a,The Atramental Barracks\0	a,Dion\0	a,Clan hall located in the Town of Dion\0	a,	a,	a,	a,
20	1	32	a,The Scarlet Barracks\0	a,Dion\0	a,Clan hall located in the Town of Dion\0	a,	a,	a,	a,
21	1	33	a,The Viridian Barracks\0	a,Dion\0	a,Clan hall located in the Town of Dion\0	a,	a,	a,	a,
22	1	34	a,Devastated Castle\0	a,Aden\0	a,Contestable Clan Hall\0	a,	a,	a,	a,
23	1	35	a,Bandit Stronghold\0	a,Oren\0	a,Contestable Clan Hall\0	a,	a,	a,	a,
24	1	36	a,The Golden Chamber\0	a,Aden\0	a,Clan hall located in the Town of Aden\0	a,	a,	a,	a,
25	1	37	a,The Silver Chamber\0	a,Aden\0	a,Clan hall located in the Town of Aden\0	a,	a,	a,	a,
26	1	38	a,The Mithril Chamber\0	a,Aden\0	a,Clan hall located in the Town of Aden\0	a,	a,	a,	a,
27	1	39	a,Silver Manor\0	a,Aden\0	a,Clan hall located in the Town of Aden\0	a,	a,	a,	a,
28	1	40	a,Gold Manor\0	a,Aden\0	a,Clan hall located in the Town of Aden\0	a,	a,	a,	a,
29	1	41	a,The Bronze Chamber\0	a,Aden\0	a,Clan hall located in the Town of Aden\0	a,	a,	a,	a,
30	1	42	a,The Golden Chamber\0	a,Giran\0	a,Clan hall located in the Town of Giran\0	a,	a,	a,	a,
31	1	43	a,The Silver Chamber\0	a,Giran\0	a,Clan hall located in the Town of Giran\0	a,	a,	a,	a,
32	1	44	a,The Mithril Chamber\0	a,Giran\0	a,Clan hall located in the Town of Giran\0	a,	a,	a,	a,
33	1	45	a,The Bronze Chamber\0	a,Giran\0	a,Clan hall located in the Town of Giran\0	a,	a,	a,	a,
34	1	46	a,Silver Manor\0	a,Giran\0	a,Clan hall located in the Town of Giran\0	a,	a,	a,	a,
35	1	47	a,Moonstone Hall\0	a,Goddard\0	a,Clan hall located in the Town of Goddard\0	a,	a,	a,	a,
36	1	48	a,Onyx Hall\0	a,Goddard\0	a,Clan hall located in the Town of Goddard\0	a,	a,	a,	a,
37	1	49	a,Emerald Hall\0	a,Goddard\0	a,Clan hall located in the Town of Goddard\0	a,	a,	a,	a,
38	1	50	a,Sapphire Hall\0	a,Goddard\0	a,Clan hall located in the Town of Goddard\0	a,	a,	a,	a,
39	1	51	a,Mont Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0	a,	a,	a,	a,
40	1	52	a,Astaire Chamber\0	a,Rune\0	a,An upscale Clan hall located in the Rune Township\0	a,	a,	a,	a,
