id	int1	int2	enable_?	tip
1	3	101	1	a,Drag Spiritshots and Soulshots to your shortcut bar and right-click their icons to enable auto-use.\0
2	2	102	1	a,The Grand Olympiad runs daily from 6:00 PM CST to 12:00 AM CST on Chronos \\n (6:00 PM GMT+1 to 12:00 AM GMT+1 on the Naia server).\0
3	2	0	0	a,If you'd like to run 2 accounts from one computer (at a PC café, for instance), make sure one is a fixed amount account. \0
4	2	0	1	a,One game day comprises of 4 hours of real world time. In every game day, 3 hours are allocated for daylight and 1 hour for night time.\\n Use the "/time" command to check the current game time.\0
5	3	0	1	a,You can change the camera perspective by using the Page Up and Page Down keys.\0
6	3	0	1	a,You can toggle between chat windows by using the Alt + Page Up and Alt + Page Down keys.\0
7	3	0	1	a,Regular game maintenance is performed every Tuesday from 10:00 AM - 12:00 PM CST (5:00 PM GMT+1 to 7:00 PM GMT+1).\0
8	1	0	1	a,Private warehouse inventory quantity includes arriving freight cargo as well as the number of items already in storage. \0
9	1	0	1	a,To reset windows to their default location, select Option > Audio/System tab > Initialize button.  You can also use the command Alt+L.\0
10	3	101	1	a,Invite or delete friends in the game with the "/friendinvite" and "/frienddel" commands.\\n View and manage your friend list using "/friendlist".\0
11	2	101	1	a,Multiple characters on the same account/server do not share a warehouse.  If you want to gives items from one character to another, you must speak to a warehouse keeper (located in almost any village).\0
12	3	0	1	a,You can identify the quest type by the color of the exclamation point displayed above an NPC's head.\\nOrdinary quests are orange, while special quests are blue.\0
13	3	0	1	a,Up to 100 items (120 for Dwarves) can be stored in a character's private warehouse.\0
14	4	0	1	a,Click the lock in the lower corner of your shortcut bar to lock the icons displayed there.\0
15	3	0	1	a,NPCs from the Adventure Guild in each village can provide useful information about quests and raids. \0
16	1	0	1	a,Use the "/block (name)" command to prevent unwanted private messages from specified players.\0
17	3	0	1	a,If the fee for an auction-type clan hall is not paid, a payment due message will be displayed.\\nIf payment is not made within 7 days, clan hall ownership will be automatically revoked.\0
18	4	0	1	a,Only castle lords and clan hall owners of Aden clan halls, Fortress of the Dead, and Devastated Castle can ride Wyverns.\0
19	3	0	1	a,To obtain a new item by summoning or clicking on it, your personal inventory weight gauge must be lower than 80%,\\nand you must have more than 10 open slots.  NEEDS REWRITE\0
