id	name	str	icon
1080001	Small fortuna box	a,	br_cashtex.item.br_cash_lucky_box_i00
1080002	Middle fortuna box	a,	br_cashtex.item.br_cash_lucky_box_i00
1080003	Large fortuna box	a,	br_cashtex.item.br_cash_lucky_box_i00
1080004	Small fortuna cube	a,	br_cashtex.item.br_cash_lucky_cube_i00
1080005	Middle fortuna cube	a,	br_cashtex.item.br_cash_lucky_cube_i00
1080006	Large fortuna cube	a,	br_cashtex.item.br_cash_lucky_cube_i00
1080007	Powerful Healing Potion	a,	br_cashtex.item.br_cash_greater_healing_potion_i00
1080008	High-grade Healing Potion	a,	br_cashtex.item.br_cash_healing_potion_i00
1080009	Secret medicine of Will - D grade	a,	br_cashtex.item.br_cash_elixir_of_combative_d_i00
1080010	Secret medicine of Will - C grade	a,	br_cashtex.item.br_cash_elixir_of_combative_c_i00
1080011	Secret medicine of Will - B grade	a,	br_cashtex.item.br_cash_elixir_of_combative_b_i00
1080012	Secret medicine of Will - A grade	a,	br_cashtex.item.br_cash_elixir_of_combative_a_i00
1080013	Secret medicine of Will - S grade	a,	br_cashtex.item.br_cash_elixir_of_combative_s_i00
1080014	Secret medicine of Life - D grade	a,	br_cashtex.item.br_cash_elixir_of_life_d_i00
1080015	Secret medicine of Life - C grade	a,	br_cashtex.item.br_cash_elixir_of_life_c_i00
1080016	Secret medicine of Life - B grade	a,	br_cashtex.item.br_cash_elixir_of_life_b_i00
1080017	Secret medicine of Life - A grade	a,	br_cashtex.item.br_cash_elixir_of_life_a_i00
1080018	Secret medicine of Life - S grade	a,	br_cashtex.item.br_cash_elixir_of_life_s_i00
1080019	Potion of Will	a,	br_cashtex.item.br_cash_cp_potion_i00
1080020	Healing medicine for Mana	a,	br_cashtex.item.br_cash_mana_potion_i00
1080021	Wind Walk Scroll	a,	br_cashtex.item.br_cash_scroll_of_wind_walk_i00
1080022	Haste Scroll	a,	br_cashtex.item.br_cash_scroll_of_haste_i00
1080023	Might Scroll	a,	br_cashtex.item.br_cash_scroll_of_might_i00
1080024	Shield Scroll	a,	br_cashtex.item.br_cash_scroll_of_shield_i00
1080025	Death Whisper Scroll	a,	br_cashtex.item.br_cash_scroll_of_death_whisper_i00
1080026	Guidance Scroll	a,	br_cashtex.item.br_cash_scroll_of_guidance_i00
1080027	Empower Scroll	a,	br_cashtex.item.br_cash_scroll_of_empower_i00
1080028	Grater Acumen Scroll	a,	br_cashtex.item.br_cash_scroll_of_greater_acumen_i00
1080029	Vampiric Rage Scroll	a,	br_cashtex.item.br_cash_scroll_of_vampiric_rage_i00
1080030	Bless the Body Scroll	a,	br_cashtex.item.br_cash_scroll_of_bless_the_body_i00
1080031	Berserker Spirit Scroll	a,	br_cashtex.item.br_cash_scroll_of_berserker_spirit_i00
1080032	Magic Barrier Scroll	a,	br_cashtex.item.br_cash_scroll_of_magic_barrier_i00
1080033	Bless the Soul Scroll	a,	br_cashtex.item.br_cash_scroll_of_bless_the_soul_i00
1080034	Clarity Scroll	a,	br_cashtex.item.br_cash_scroll_of_clarity_i00
1080035	Wild Magic Scroll	a,	br_cashtex.item.br_cash_scroll_of_wild_magic_i00
1080036	Rune of Experience Points	a,	br_cashtex.item.br_cash_rune_of_exp_i00
1080037	Rune of Experience Points	a,	br_cashtex.item.br_cash_rune_of_exp_i00
