id	hunting_type	level	unk_1	loc_x	loc_y	loc_z	extra	affiliated_area_id	name
1	0	0	0	0.00000000	0.00000000	0.00000000	u,영문\0	1	a,Dion Territory\0
2	1	25	0	50568.00000000	152408.00000000	-2656.00000000	a,	1	a,Execution Grounds\0
3	1	23	0	50081.00000000	116859.00000000	-2176.00000000	a,	1	a,Partisan's Hideaway\0
4	1	25	0	5106.00000000	126916.00000000	-3664.00000000	a,	1	a,Cruma Marshlands\0
5	2	40	0	17225.00000000	114173.00000000	-3440.00000000	a,	1	a,Cruma Tower\0
6	1	20	0	38291.00000000	148029.00000000	-3696.00000000	a,	1	a,Mandragora Farm\0
7	3	0	0	15472.00000000	142880.00000000	-2699.00000000	a,	1	a,Town of Dion\0
8	3	0	0	17308.00000000	170368.00000000	-3495.00000000	a,	1	a,Floran Village\0
9	3	0	0	22310.00000000	155917.00000000	-2952.00000000	a,	1	a,Dion Castle\0
10	1	46	0	58316.00000000	163851.00000000	-2816.00000000	a,	1	a,Tanor Canyon\0
11	1	34	0	34475.00000000	188095.00000000	-2976.00000000	a,	1	a,Bee Hive\0
12	1	20	0	29928.00000000	151415.00000000	2392.00000000	a,	1	a,Dion Hills\0
13	1	30	0	10610.00000000	156322.00000000	-2472.00000000	a,	1	a,Floran Agricultural Area\0
14	1	23	0	630.00000000	179184.00000000	-3720.00000000	a,	1	a,Plains of Dion\0
15	5	0	0	43962.00000000	108861.00000000	-2032.00000000	a,	1	a,Fortress of Resistance\0
16	0	0	0	0.00000000	0.00000000	0.00000000	a,	16	a,Giran Territory\0
17	3	0	0	105918.00000000	109759.00000000	-3170.00000000	a,	16	a,Hardin's Academy\0
18	1	81	0	73024.00000000	118485.00000000	-3720.00000000	a,	16	a,Dragon Valley\0
19	2	85	0	131557.00000000	114509.00000000	-3712.00000000	a,	16	a,Antharas' Lair \0
20	2	85	0	177160.00000000	114922.00000000	-7704.00000000	a,	16	a,Antharas' Nest\0
21	1	35	0	67933.00000000	117045.00000000	-3544.00000000	a,	16	a,Death Pass\0
22	7	0	0	41528.00000000	198358.00000000	-4648.00000000	a,	16	a,Pirate Tunnel\0
23	2	45	0	43408.00000000	206881.00000000	-3752.00000000	a,	16	a,Devil's Isle\0
24	4	0	0	47938.00000000	186864.00000000	-3420.00000000	a,	16	a,Giran Harbor\0
25	3	0	0	83475.00000000	147966.00000000	-3404.00000000	a,	16	a,Town of Giran\0
26	6	0	0	73579.00000000	142709.00000000	-3768.00000000	a,	16	a,Giran Arena\0
27	3	0	0	112077.00000000	144869.00000000	-2824.00000000	a,	16	a,Giran Castle\0
28	1	30	0	85546.00000000	131328.00000000	-3672.00000000	a,	16	a,Breka's Stronghold\0
29	1	31	0	113553.00000000	134813.00000000	-3540.00000000	a,	16	a,Gorgon Flower Garden\0
30	0	0	0	0.00000000	0.00000000	0.00000000	a,	30	a,Gludio Territory\0
31	1	15	0	-19120.00000000	136816.00000000	-3762.00000000	a,	30	a,Ruins of Despair\0
32	1	15	0	-42628.00000000	119766.00000000	-3528.00000000	a,	30	a,Ruins of Agony\0
33	1	25	0	-16526.00000000	208032.00000000	-3664.00000000	a,	30	a,Wasteland\0
34	2	29	0	-9959.00000000	176184.00000000	-4160.00000000	a,	30	a,The Ant Nest\0
35	3	0	0	-80684.00000000	149770.00000000	-3043.00000000	a,	30	a,Gludin Village\0
36	4	0	0	-91101.00000000	150344.00000000	-3624.00000000	a,	30	a,Gludin Harbor\0
37	3	0	0	-12787.00000000	122779.00000000	-3114.00000000	a,	30	a,Town of Gludio\0
38	1	21	0	-49853.00000000	147089.00000000	-2784.00000000	a,	30	a,Abandoned Camp \0
39	1	24	0	-89763.00000000	105359.00000000	-3576.00000000	a,	30	a,Orc Barracks\0
40	2	27	0	-53001.00000000	191425.00000000	-3568.00000000	a,	30	a,Forgotten Temple\0
41	7	0	0	-57798.00000000	127629.00000000	-2928.00000000	a,	30	a,Fellmere Lake\0
42	6	0	0	-87328.00000000	142266.00000000	-3640.00000000	a,	30	a,Gludin Arena\0
43	3	0	0	-18341.00000000	113946.00000000	-1268.00000000	a,	30	a,Gludio Castle\0
44	1	26	0	-88539.00000000	83389.00000000	-2864.00000000	a,	30	a,Windy Hill\0
45	1	30	0	-44829.00000000	188171.00000000	-3256.00000000	a,	30	a,Red Rock Ridge\0
46	1	16	0	-44763.00000000	203497.00000000	-3592.00000000	a,	30	a,Langk Lizardmen Dwellings\0
47	1	24	0	-25283.00000000	106820.00000000	-3416.00000000	a,	30	a,Maille Lizardmen Barracks\0
48	7	0	0	-84141.00000000	244623.00000000	-3729.00000000	a,	30	a,Talking Island\0
49	3	0	0	-84141.00000000	244623.00000000	-3729.00000000	a,	30	a,Talking Island Village\0
50	3	0	0	-72674.00000000	256819.00000000	-3112.00000000	a,	30	a,Cedric's Training Hall\0
51	3	0	0	-89041.00000000	248907.00000000	-3568.00000000	a,	30	a,Einhovant's School of Magic\0
52	7	0	0	-99586.00000000	237637.00000000	-3568.00000000	a,	30	a,Obelisk of Victory\0
53	2	9	0	-112367.00000000	234703.00000000	-3688.00000000	a,	30	a,Elven Ruins\0
54	4	0	0	-96811.00000000	259153.00000000	-3616.00000000	a,	30	a,Talking Island Harbor\0
55	1	8	0	-104344.00000000	226217.00000000	-3616.00000000	a,	30	a,Talking Island, Northern Territory\0
56	1	1	0	-95336.00000000	240478.00000000	-3264.00000000	a,	30	a,Talking Island, Eastern Territory\0
57	1	17	0	-63736.00000000	101522.00000000	-3552.00000000	a,	30	a,Fellmere Harvesting Grounds\0
58	1	15	0	-75437.00000000	168800.00000000	-3632.00000000	a,	30	a,Windmill Hill\0
