Nume	UNK_STR	UNK_INT[0]	UNK_INT[1]	UNK_INT[2]	UNK_INT[3]	UNK_INT[4]	UNK_INT[5]	UNK_INT[6]	UNK_INT[7]
1	u,말섬던전\0	50172	40459	251111	241581	-4874	-6874	260	2478
2	u,이단자의 카타콤\0	-40000	-58000	-236000	-256000	-3780	-9000	1011	2034
3	u,이교도의 카타콤\0	-6600	-27000	-238000	-254000	-3780	-9000	1185	1704
4	u,밀계의 카타콤\0	24000	8000	-243000	-2500000	-3780	-10000	1377	1731
5	u,사교의 신전\0	-6566	-25277	-34511	-57705	-7039	-11505	1000	1039
6	u,올림피아드경기장1\0	-65536	-98304	-196609	-229377	0	-5000	717	1203
7	u,올림피아드경기장2\0	-65536	-98304	-229377	-262145	0	-5000	717	1203
8	u,올림피아드경기장3\0	-98304	-131072	-196609	-229377	0	-5000	717	1203
9	u,진멸의 씨앗 던전\0	-204852	-221464	188835	171799	-9367	-16053	742	2023
10	u,프린테샤 보스전\0	-85369	-90181	-139281	-155787	-5807	-9442	1754	905
11	u,강철의 성\0	20434	12149	284485	274896	-5808	-10482	805	2526
12	u,파이라카 악마섬\0	91632	69884	-203699	-228444	-881	-4935	1070	2360
13	u,성녀의 봉인\0	50112	41024	-245216	-254096	-5440	-7293	1396	906
14	u,성녀의 관실\0	57744	54480	-249152	-254496	-5440	-7280	1396	906
15	u,성스러운 묘소\0	90080	80736	-245312	-254128	-7088	-9088	1396	906
16	u,엘카디아 거처\0	90112	89168	-237552	-238640	-9392	-9776	1071	915
